Dimension: 256,, 1220, 986, 985, 970, 983, 975, 989, 988, 971, 992, 980, 981, 980, 961, 972, 985, 976, 994, 985, 973, 992, 969, 969, 984, 988
Dimension: 512,, 3635, 3624, 3640, 3635, 3666, 3634, 3675, 3610, 3624, 3652, 3622, 3651, 3626, 3694, 3652, 3658, 3646, 3637, 3634, 3619, 3619, 3667, 3623, 3636, 3647
Dimension: 1024,, 13908, 13846, 13938, 13917, 13914, 13935, 13931, 13907, 13948, 13880, 13963, 13938, 13950, 13962, 13935, 13972, 13919, 13923, 14235, 13907, 13977, 13940, 13930, 13899, 13942
Dimension: 2048,, 54508, 54436, 54464, 54474, 54407, 54437, 54437, 54422, 54440, 54558, 54398, 54442, 54422, 54476, 54561, 54467, 54455, 54477, 54505, 54723, 54812, 54499, 54442, 54466, 54449
Dimension: 4096,, 214851, 215224, 214686, 214833, 214884, 214717, 214555, 214748, 214916, 214855, 214605, 214924, 214737, 214727, 214750, 215080, 214500, 214464, 214523, 214696, 214352, 214640, 214539, 214661, 214527
