Samples: 4,4,57188,56938,56744,57107,56521,56804,56926,56528,56110,56298,,56716.4
Samples: 8,8,110822,110709,110860,114072,111908,114359,112717,112054,110337,110687,,111852.5
Samples: 12,12,163819,168354,172633,169058,167443,170423,171006,167410,173265,175240,,169865.1
Samples: 16,16,229512,226763,216847,216712,225393,228937,230830,238311,236711,236573,,228658.9
