Dimension: 256,, 4173, 4347, 4287, 4267, 4253, 4379, 4280, 4333, 4178, 4221, 4259, 4567, 4254, 4291, 4312, 4303, 4411, 4311, 4293, 4232, 4313, 4307, 4319, 4287, 4373
Dimension: 512,, 15983, 16312, 15791, 16526, 16676, 16347, 15998, 16003, 16286, 15996, 15970, 15957, 15570, 14716, 14669, 15024, 14878, 14774, 14734, 15063, 14862, 15152, 14856, 15182, 15031
Dimension: 1024,, 57816, 57929, 60041, 63620, 61327, 61312, 63053, 64894, 60954, 60463, 60831, 59214, 61425, 63566, 61318, 61519, 62058, 60116, 62271, 64327, 62390, 63965, 64550, 66968, 65045
Dimension: 2048,, 244194, 241464, 241501, 244714, 244103, 245313, 248955, 245246, 231713, 233931, 234103, 233327, 229451, 229734, 230680, 223169, 216788, 222542, 231166, 225435, 222770, 220795, 220713, 218719, 219046
Dimension: 4096,, 915681, 894261, 898284, 895588, 897324, 942640, 976141, 937751, 934420, 39075362, 933364, 901265, 913738, 892417, 894079, 875528, 876959, 854097, 858038, 882547, 920238, 922712, 910978, 909307, 850128
